iter	Passed	Remaining
949	18072	951
950	18091	932
951	18114	913
952	18135	894
953	18154	875
954	18171	856
955	18187	837
956	18204	817
957	18226	799
958	18243	779
959	18260	760
960	18277	741
961	18302	722
962	18319	703
963	18333	684
964	18348	665
965	18363	646
966	18379	627
967	18394	608
968	18409	588
969	18422	569
970	18436	550
971	18452	531
972	18466	512
973	18480	493
974	18495	474
975	18511	455
976	18526	436
977	18550	417
978	18565	398
979	18579	379
980	18596	360
981	18610	341
982	18625	322
983	18639	303
984	18654	284
985	18668	265
986	18684	246
987	18698	227
988	18714	208
989	18729	189
990	18745	170
991	18760	151
992	18774	132
993	18800	113
994	18815	94
995	18831	75
996	18849	56
997	18865	37
998	18884	18
999	18903	0
