iter	Logloss
0	0.665535695
1	0.639472934
2	0.6189588353
3	0.5972503023
4	0.5788056151
5	0.5651044651
6	0.5501227099
7	0.533195386
8	0.5183085367
9	0.5075281657
10	0.4976949543
11	0.4893588038
12	0.4790300198
13	0.4709374799
14	0.4640306667
15	0.4565528915
16	0.4499434237
17	0.4421794686
18	0.4368460741
19	0.4312557837
20	0.4261036125
21	0.4213502987
22	0.4156529684
23	0.4110506617
24	0.4065159232
25	0.402795465
26	0.3997704512
27	0.3958709443
28	0.3932679045
29	0.3902197649
30	0.3877608522
31	0.3855259239
32	0.3833645575
33	0.3808040048
34	0.3774776527
35	0.3759599971
36	0.3734236209
37	0.3708399973
38	0.3690433708
39	0.367535711
40	0.3658944867
41	0.363980998
42	0.3625006944
43	0.3612025826
44	0.3598068055
45	0.3577794606
46	0.3555912589
47	0.354405916
48	0.3531883103
49	0.3522081112
50	0.3509508418
51	0.3497890084
52	0.3485807225
53	0.3476363131
54	0.3466793768
55	0.3456952489
56	0.3449898634
57	0.3441976673
58	0.3433811393
59	0.342791611
60	0.3421376759
61	0.3411212853
62	0.3400364036
63	0.3392434583
64	0.3382032657
65	0.3377231164
66	0.336806922
67	0.3359791556
68	0.3352583377
69	0.3343257424
70	0.3335269494
71	0.3329188912
72	0.3321532198
73	0.3316409174
74	0.3311096831
75	0.3301812178
76	0.3297996658
77	0.3285763632
78	0.3281632977
79	0.3275923723
80	0.3271823495
81	0.3266980017
82	0.3262867636
83	0.3258868646
84	0.3253678236
85	0.3246012111
86	0.3240580667
87	0.3231931127
88	0.3228136622
89	0.3221835108
90	0.3217862615
91	0.3212770199
92	0.3207869341
93	0.320419243
94	0.3201621187
95	0.3198729235
96	0.3196491356
97	0.319305991
98	0.3190141689
99	0.3187182809
100	0.3181140374
101	0.3178066733
102	0.3174089078
103	0.316737617
104	0.3163304083
105	0.3160353792
106	0.3155336894
107	0.3150879592
108	0.3140934059
109	0.3137813363
110	0.313544021
111	0.3132839728
112	0.3127203387
113	0.3124881722
114	0.3122116454
115	0.3120848924
116	0.3118619268
117	0.3115739057
118	0.3109200757
119	0.3106834183
120	0.3104502832
121	0.310068448
122	0.3097350069
123	0.3093710574
124	0.309072241
125	0.3088669783
126	0.3084745167
127	0.3080875054
128	0.306861416
129	0.3066654548
130	0.3063866256
131	0.3061926836
132	0.305976854
133	0.3057104693
134	0.3053957636
135	0.3051949278
136	0.3049947225
137	0.3044635978
138	0.3040260955
139	0.303733579
140	0.3034613055
141	0.3031946057
142	0.3029975206
143	0.3028612971
144	0.3027079234
145	0.3024231414
146	0.3022007742
147	0.3019516722
148	0.3017956488
149	0.3016192316
150	0.3014410419
151	0.3009619981
152	0.3007579735
153	0.3005574986
154	0.3004443825
155	0.3001177896
156	0.2998749328
157	0.2995965421
158	0.2994232269
159	0.2992934221
160	0.2990894158
161	0.2984950357
162	0.2980900884
163	0.2979627141
164	0.2976161249
165	0.2974791019
166	0.2973833096
167	0.2971805641
168	0.2970229097
169	0.296655712
170	0.2961280868
171	0.2959412855
172	0.2957612592
173	0.2955181784
174	0.2953383257
175	0.2950401763
176	0.2948893975
177	0.2947780678
178	0.2946506889
179	0.2944910289
180	0.2941295692
181	0.2936823497
182	0.2933506218
183	0.293057621
184	0.2928900667
185	0.292818524
186	0.2926727112
187	0.2924994006
188	0.2921307958
189	0.2918021014
190	0.2916056102
191	0.291383106
192	0.2912683316
193	0.2909840612
194	0.2908252876
195	0.2905548872
196	0.2904031171
197	0.2901924864
198	0.2900009886
199	0.2897787722
200	0.2895913495
201	0.289356821
202	0.2891899611
203	0.2890863658
204	0.288800227
205	0.2886801942
206	0.2883681474
207	0.2881940054
208	0.2876198637
209	0.2874789118
210	0.2872082465
211	0.2870339902
212	0.2869176808
213	0.2868136834
214	0.2866435297
215	0.286561653
216	0.2863930479
217	0.2862975206
218	0.2861995217
219	0.2857981242
220	0.2856170289
221	0.2853650441
222	0.2851293735
223	0.2849840907
224	0.2848468712
225	0.2846828484
226	0.2843913963
227	0.284247283
228	0.2842345826
229	0.2841604907
230	0.2840086931
231	0.2838843157
232	0.2837637987
233	0.2835859561
234	0.283493444
235	0.2833045457
236	0.283171977
237	0.2830833801
238	0.2828442282
239	0.2827500121
240	0.2824295775
241	0.282266779
242	0.2821051683
243	0.2820576696
244	0.281879754
245	0.281673573
246	0.2814505937
247	0.2812171296
248	0.2810286516
249	0.280961915
250	0.2807737019
251	0.2806288759
252	0.2803460538
253	0.2802500513
254	0.2800598145
255	0.2798943297
256	0.2797732782
